Stamp,Status,Region,Count
2020-02-25 15:00:00,Confirmed,AT,2
2020-02-26 15:00:00,Confirmed,AT,2
2020-02-26 15:00:00,Tested,AT,321
2020-02-27 15:00:00,Confirmed,AT,3
2020-02-28 15:00:00,Confirmed,AT,5
2020-02-28 15:00:00,Tested,AT,762
2020-02-29 15:00:00,Confirmed,AT,7
2020-02-29 15:00:00,Tested,AT,1649
2020-03-01 15:00:00,Confirmed,AT,10
2020-03-01 15:00:00,Tested,AT,1826
2020-03-02 15:00:00,Confirmed,AT,14
2020-03-02 15:00:00,Tested,AT,2120
2020-03-03 15:00:00,Confirmed,AT,18
2020-03-04 15:00:00,Confirmed,AT,29
2020-03-04 15:00:00,Tested,AT,3138
2020-03-05 15:00:00,Confirmed,AT,41
2020-03-05 15:00:00,Recovered,AT,2
2020-03-05 15:00:00,Tested,AT,3711
2020-03-06 15:00:00,Confirmed,AT,55
2020-03-06 15:00:00,Recovered,AT,2
2020-03-06 15:00:00,Tested,AT,4000
2020-03-07 15:00:00,Confirmed,AT,79
2020-03-07 15:00:00,Recovered,AT,2
2020-03-07 15:00:00,Tested,AT,4308
2020-03-08 15:00:00,Confirmed,AT,102
2020-03-08 15:00:00,Recovered,AT,2
2020-03-08 15:00:00,Tested,AT,4509
2020-03-09 15:00:00,Confirmed,AT,131
2020-03-09 15:00:00,Recovered,AT,2
2020-03-10 15:00:00,Confirmed,AT,183
2020-03-10 15:00:00,Recovered,AT,4
2020-03-10 15:00:00,Tested,AT,5062
2020-03-11 15:00:00,Confirmed,AT,246
2020-03-11 15:00:00,Recovered,AT,4
2020-03-11 15:00:00,Tested,AT,5362
2020-03-12 15:00:00,Confirmed,AT,361
2020-03-12 15:00:00,Deaths,AT,1
2020-03-12 15:00:00,Recovered,AT,4
2020-03-12 15:00:00,Tested,AT,5869
2020-03-13 15:00:00,Confirmed,AT,504
2020-03-13 15:00:00,Deaths,AT,1
2020-03-13 15:00:00,Recovered,AT,4
2020-03-14 15:00:00,Confirmed,AT,655
2020-03-14 08:00:00,Deaths,AT,1
2020-03-14 08:00:00,Recovered,AT,4
2020-03-14 08:00:00,Tested,AT,8167
2020-03-15 15:00:00,Confirmed,AT,860
2020-03-15 15:00:00,Deaths,AT,1
2020-03-15 15:00:00,Recovered,AT,6
2020-03-16 15:00:00,Confirmed,AT,1016
2020-03-16 08:00:00,Deaths,AT,2
2020-03-16 08:00:00,Recovered,AT,8
2020-03-16 08:00:00,Tested,AT,8490
2020-03-17 15:00:00,Confirmed,AT,1332
2020-03-17 15:00:00,Deaths,AT,2
2020-03-17 15:00:00,Recovered,AT,9
2020-03-17 15:00:00,Tested,AT,10278
2020-03-18 15:00:00,Confirmed,AT,1646
2020-03-18 08:00:00,Deaths,AT,4
2020-03-18 08:00:00,Recovered,AT,9
2020-03-18 08:00:00,Tested,AT,11977
2020-03-19 15:00:00,Confirmed,AT,2013
2020-03-19 15:00:00,Deaths,AT,6
2020-03-19 15:00:00,Recovered,AT,9
2020-03-19 15:00:00,Tested,AT,13724
2020-03-20 15:00:00,Confirmed,AT,2388
2020-03-20 15:00:00,Deaths,AT,6
2020-03-20 15:00:00,Recovered,AT,9
2020-03-20 15:00:00,Tested,AT,15613
