Stamp,Region,Confirmed,Deaths,Hospitalisierung,Intensivstation,Recovered,Tested
2020-02-25 15:00:00,AT,2,NA,NA,NA,NA,NA
2020-02-25 15:00:00,B,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,K,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,NOe,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,Stmk,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,Szb,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,T,2,NA,NA,NA,NA,NA
2020-02-25 15:00:00,V,0,NA,NA,NA,NA,NA
2020-02-25 15:00:00,W,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,AT,2,NA,NA,NA,NA,321
2020-02-26 15:00:00,B,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,K,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,NOe,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,Stmk,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,Szb,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,T,2,NA,NA,NA,NA,NA
2020-02-26 15:00:00,V,0,NA,NA,NA,NA,NA
2020-02-26 15:00:00,W,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,AT,3,NA,NA,NA,NA,NA
2020-02-27 15:00:00,B,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,K,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,NOe,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,Stmk,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,Szb,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,T,2,NA,NA,NA,NA,NA
2020-02-27 15:00:00,V,0,NA,NA,NA,NA,NA
2020-02-27 15:00:00,W,1,NA,NA,NA,NA,NA
2020-02-28 15:00:00,AT,5,NA,NA,NA,NA,762
2020-02-28 15:00:00,B,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,K,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,NOe,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,Stmk,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,Szb,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,T,2,NA,NA,NA,NA,NA
2020-02-28 15:00:00,V,0,NA,NA,NA,NA,NA
2020-02-28 15:00:00,W,3,NA,NA,NA,NA,NA
2020-02-29 15:00:00,AT,7,NA,NA,NA,NA,1649
2020-02-29 15:00:00,B,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,K,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,NOe,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,Stmk,1,NA,NA,NA,NA,NA
2020-02-29 15:00:00,Szb,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,T,2,NA,NA,NA,NA,NA
2020-02-29 15:00:00,V,0,NA,NA,NA,NA,NA
2020-02-29 15:00:00,W,4,NA,NA,NA,NA,NA
2020-03-01 15:00:00,AT,10,NA,NA,NA,NA,1826
2020-03-01 15:00:00,B,0,NA,NA,NA,NA,NA
2020-03-01 15:00:00,K,0,NA,NA,NA,NA,NA
2020-03-01 15:00:00,NOe,2,NA,NA,NA,NA,NA
2020-03-01 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-03-01 15:00:00,Stmk,1,NA,NA,NA,NA,NA
2020-03-01 15:00:00,Szb,1,NA,NA,NA,NA,NA
2020-03-01 15:00:00,T,2,NA,NA,NA,NA,NA
2020-03-01 15:00:00,V,0,NA,NA,NA,NA,NA
2020-03-01 15:00:00,W,4,NA,NA,NA,NA,NA
2020-03-02 15:00:00,AT,14,NA,NA,NA,NA,2120
2020-03-02 15:00:00,B,0,NA,NA,NA,NA,NA
2020-03-02 15:00:00,K,0,NA,NA,NA,NA,NA
2020-03-02 15:00:00,NOe,2,NA,NA,NA,NA,NA
2020-03-02 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-03-02 15:00:00,Stmk,1,NA,NA,NA,NA,NA
2020-03-02 15:00:00,Szb,1,NA,NA,NA,NA,NA
2020-03-02 15:00:00,T,2,NA,NA,NA,NA,NA
2020-03-02 15:00:00,V,0,NA,NA,NA,NA,NA
2020-03-02 15:00:00,W,8,NA,NA,NA,NA,NA
2020-03-03 15:00:00,AT,18,NA,NA,NA,NA,NA
2020-03-03 15:00:00,B,0,NA,NA,NA,NA,NA
2020-03-03 15:00:00,K,0,NA,NA,NA,NA,NA
2020-03-03 15:00:00,NOe,3,NA,NA,NA,NA,NA
2020-03-03 15:00:00,OOe,0,NA,NA,NA,NA,NA
2020-03-03 15:00:00,Stmk,2,NA,NA,NA,NA,NA
2020-03-03 15:00:00,Szb,2,NA,NA,NA,NA,NA
2020-03-03 15:00:00,T,2,NA,NA,NA,NA,NA
2020-03-03 15:00:00,V,0,NA,NA,NA,NA,NA
2020-03-03 15:00:00,W,9,NA,NA,NA,NA,NA
2020-03-04 15:00:00,AT,29,NA,NA,NA,NA,3138
2020-03-04 15:00:00,B,0,NA,NA,NA,NA,NA
2020-03-04 15:00:00,K,0,NA,NA,NA,NA,NA
2020-03-04 15:00:00,NOe,5,NA,NA,NA,NA,NA
2020-03-04 15:00:00,OOe,0,NA,NA,NA,NA,NA
