Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
15.02.2021;1;Burgenland;0;0;0;68
15.02.2021;2;Kärnten;0;0;0;543
15.02.2021;3;Niederösterreich;0;0;0;498
15.02.2021;4;Oberösterreich;0;0;0;389
15.02.2021;5;Salzburg;0;0;0;100
15.02.2021;6;Steiermark;0;0;0;521
15.02.2021;7;Tirol;0;0;0;47
15.02.2021;8;Vorarlberg;0;0;0;65
15.02.2021;9;Wien;0;0;0;506
15.02.2021;10;Österreich;0;0;0;2737
16.02.2021;1;Burgenland;0;0;0;250
16.02.2021;2;Kärnten;0;0;0;834
16.02.2021;3;Niederösterreich;0;0;0;2552
16.02.2021;4;Oberösterreich;0;0;0;1633
16.02.2021;5;Salzburg;0;0;0;403
16.02.2021;6;Steiermark;0;0;0;1477
16.02.2021;7;Tirol;0;0;0;308
16.02.2021;8;Vorarlberg;0;0;0;317
16.02.2021;9;Wien;0;0;0;2021
16.02.2021;10;Österreich;0;0;0;9795
17.02.2021;1;Burgenland;0;0;0;305
17.02.2021;2;Kärnten;0;0;0;1691
17.02.2021;3;Niederösterreich;0;0;0;8057
17.02.2021;4;Oberösterreich;0;0;0;2759
17.02.2021;5;Salzburg;0;0;0;656
17.02.2021;6;Steiermark;0;0;0;3376
17.02.2021;7;Tirol;0;0;0;741
17.02.2021;8;Vorarlberg;0;0;0;553
17.02.2021;9;Wien;0;0;0;3832
17.02.2021;10;Österreich;0;0;0;21970
18.02.2021;1;Burgenland;0;0;0;566
18.02.2021;2;Kärnten;0;0;0;2569
18.02.2021;3;Niederösterreich;0;0;0;10348
18.02.2021;4;Oberösterreich;0;0;0;5401
18.02.2021;5;Salzburg;0;0;0;883
18.02.2021;6;Steiermark;0;0;0;5979
18.02.2021;7;Tirol;0;0;0;1260
18.02.2021;8;Vorarlberg;0;0;0;830
18.02.2021;9;Wien;0;0;0;5540
